ลำดับ,รายการ,จำนวน,ราคา/หน่วย,หน่วย,จำนวนเงิน,cost,ราคาขาย,Barcode
234,ไฟฉายชาร์ตพกพา PAE 535 1จุด,3 ชิ้น,38,1,114,38,69,8.8598E+12
235,00804 กิ๊บหนีบใหญ่ คละแบบคละสี (P20),4 โหล,140,12,560,12,20,1.22013E+14
236,กิ๊บหนีบผม10722 เหลี่ยมช่อง (P20),1 โหล,140,12,140,12,20,8.8594E+12
237,ขันปั้มลายไทย NO.14 TM,1 โหล,390,12,390,33,59,1.88595E+13
238,หูฟังสมอลทอร์ค TK-09 คละแบบโชว์,1 แพค,155,10,155,16,29,6.98516E+12
239,00082 กิ๊บแบน (1*2) คละแบบ (P20),3 โหล,140,12,420,12,20,1.22012E+14
240,ออมสิน ยาดมโป๊ยเซียน185 GM,10 แพค,44,5,440,,,
241,สูบลมมือ สีพาสเทล29cm #2107 SBR,1 โหล,178,12,178,15,25,6.89122E+12
242,ขวดนม2ออนซ์ กลม-RB113 ROY,2 แพค,79,6,158,,,
243,ปัดแก้มอุทัย UTA-TAVEE (1*12) LP,2 โหล,100,12,200,8,20,8.85713E+11
244,ผ้ารองรีดฟอง18*38สะท้อนความร้อนสี,6 ชิ้น,59,,353,,,
245,หมากรุกกล่องคละสี (112ชิ้น) T99,3 ชิ้น,35,1,105,35,69,80511113
246,ลูกแก้วถุงตาข่ายใหญ่25ชิ้น #1142 IMM,1 โหล,175,12,175,15,25,8.19023E+11
247,ลูกแก้วถุงตาข่ายเล็ก100ชิ้น #1141 IMM,1 โหล,175,12,175,15,25,7765717
248,หมวกอาบน้ำการ์ตูน-เล็ก,2 โหล,65,12,130,,,
249,ตุ๊กตาชาย-หญิง (แพคคู่)(บาร์00978) TCJ,4 คู่,28,1,112,28,59,30000978
250,ตุ๊กตาชาย-หญิง(กากเพชรAAA)(แพคคู่),4 คู่,39,1,156,39,69,30001433
251,ตุ๊กตาช้างม้า(กากเพชรAAA)(แพคคู่),4 คู่,39,1,156,39,69,30001432
252,เชือกผ้าถักแบบลาย ม.22มล.(บาร์44565),3 แพค,378,6,1134,,,
253,น้ำหอมขวดแก้วก้านไม้15ML(MAWEL),1 โหล,168,12,168,,,
254,ท่อย่นน้ำทิ้ง1m 10030 IMM,6 ชิ้น,16,1,96,16,25,8.8594E+12
255,สายรัดไนล่อนสีดำPP&DD(10ม) ขนาด,1 โหล,84,12,84,7,15,8.52212E+12
256,ปืนยิงกาวแผงใส-ใหญ่40W 39#0250 IMM,1 แพค,150,6,150,25,59,8.8594E+12
257,หัวแร้งแท่งยาว DS-15193 แผงเขียว DS,2 ชิ้น,69,1,138,69,100,8.85981E+12
258,ปืนยิงกาว-ซิลิโคลน MOSUCOSA(เหล็ก),1 ชิ้น,36,,36,,,
259,เชือกผ้าแบนเอนกประสงค์ สีล้วน15ม.,2 โหล,150,12,300,13,20,17
260,หูฟัง SMALL TALK (ซองซิป)#HF603,1 โหล,180,12,180,15,30,2.882E+12
261,โซ่จักรยานหุ้มสลิง10694(12*800mm),1 โหล,185,12,185,15,25,
262,สีสเปรย์ RED FOX-270g#220/220 สีเทา,6 ชิ้น,38,1,228,38,50,8.85075E+12
263,00208 พวงกุญแจตุ๊กตาผ้า140/ล.SAM,1 โหล,140,12,140,12,25,2.047E+12
264,กล่องเหลี่ยม8028 ผืนผ้าฝาลายจุดในตัว สี,1 โหล,195,12,195,,,
265,กล่องแช่4401 SRT,1 โหล,190,12,190,16,25,8.85941E+12
266,กล่องฟินิกส์ ผืนผ้า#294-2 BG,1 โหล,185,12,185,15,25,8.85954E+12
267,พวงพริก-กล่องหิ้ว(สีหวานNEW)1301N,1 โหล,195,12,195,16,25,8.81E+12
268,กล่องเหลี่ยม#5(ตัวขาวฝาใส)ตรากระทิง,1 โหล,219,12,219,,,
269,กล่องผืนผ้าขอบสี911-1 BG,1 โหล,180,12,180,15,25,8.85954E+12
270,ใบขัดด้ามเตารีดเดี่ยว(ด้ามแปรงขัดพื้น),2 โหล,93,12,186,,,
271,แปรงเตารีดทองเหลือง SBL-106 พระอาทิตย์,1 แพค,268,6,268,45,,8.85167E+12
272,รองเท้าใส่ในบ้าน(สายการบิน)หัวเปิด170 (P25),1 โหล,170,12,170,14,25,
273,แปรงขัดรองเท้า666 แปรงไทย,1 โหล,154,12,154,13,20,8.85194E+12
274,ถุงคลุมเสื้อผ้า สั้น24x32(60x80ซม),1 โหล,180,12,180,15,25,310022432
275,แปรงเตารีดทองเหลือง SBL-106 พระอาทิตย์,1 แพค,268,6,268,45,79,
276,ถุงเพาะชำ26 0.15มม RP,1 โหล,175,12,175,15,,1070206
277,ถุงเพาะชำ3x7 0.15มม RP,1 โหล,175,12,175,15,,1070307
278,แปรงซักเสื้อ แป้นไม้(ไดโน) NCL,1 โหล,114,12,114,10,15,1800463
279,แปรงซักเสื้อขนใส อีสแมน S-09 BB,1 โหล,170,12,170,14,20,8.85194E+12
280,แปรงซักผ้าขนนม แป้นสีบรอนซ์333 CC,8 โหล,108,12,216,9,15,
281,แปรงซักผ้าแป้นไม้-สีนม (ตราสมอ),2 โหล,182,12,364,15,25,8.85194E+12
282,แปรงซักผ้า (ไดโน) แป้นไม้-ขนสีนม NCL,2 โหล,114,12,228,10,15,1800456
283,แปรง 2 สีใหญ่ CTB-09 ตราสมอ BB,2 โหล,217,12,434,,,
1,โหลเหลี่ยมใหญ่ (คลาสิก) 048-X BG,1 โหล,180,12,180,15,25,8.85954E+12
2,กล่องเหลี่ยม1155 (ฝาใส-สีใส) V-NICE,1 โหล,135,12,135,11,20,8.81E+12
3,กล่องล็อค4ด้าน8025 ผืนผ้า ใส SET LOCK,1 โหล,195,12,195,16,25,9.98E+12
4,กล่องเหลี่ยม ล็อคด้าน302 (ขาวใส) SMT,1 โหล,209,12,209,17,25,8.85104E+12
5,กล่องเหลี่ยม ตัวใส-ฝาใส MG9005-A,1 โหล,195,12,195,16,25,8.81002E+12
6,เขียงมะขามกลม 9 OT,5 ชิ้น,63,1,315,63,100,10000887
7,กล่องเหลี่ยมผืนผ้า สีโมเดิร์น#2 #9004,6 ชิ้น,17,2,102,9,15,8.81001E+12
8,กล่องล็อค B-448 ตัวใสฝาใส (ผืนผ้า),1 โหล,190,12,190,16,25,8.85954E+12
9,กล่องเหลี่ยม8028 ผืนผ้าฝาลายจุดในตัว สี,1 โหล,195,12,195,16,25,9.98E+12
10,กล่องล็อค SUPER LOCK6501 (กลม) สีฟ้า,1 โหล,210,12,210,18,30,8.85125E+12
11,แก๊สเติมไฟแช็ค BUGA 200G. ใหญ่,1 โหล,458,12,458,38,60,
12,แก๊สเติมไฟแช็ค BUGA 70G. กลาง,1 โหล,358,12,358,30,50,
13,กล่องเหลี่ยม2161 W,3 โหล,133,12,399,11,20,8.85878E+12
14,กล่องเหลี่ยม001-1 (ตัวใส-ฝาสี) AY,1 โหล,187,12,187,16,25,8.85125E+12
15,กล่องเหลี่ยม8028 ผืนผ้าฝาลายจุดในตัว สี,1 โหล,195,12,195,16,25,
16,ขวดสเปรย์เหลี่ยมลาย50ml #6343 IMM,1 โหล,120,12,120,,,
17,เขียงพลาสติก-เล็ก NO.1693,1 โหล,146,12,146,12,20,8.85942E+12
18,เขียงพลาสติก-ใหญ่ NO.167 VR,1 โหล,254,12,254,21,39,
19,เช็ดกระจก ฟองน้ำ-ด้ามสั้น OK,7 ชิ้น,39,1,273,39,69,8.85956E+12
20,โซดาเกล็ดไฟ(1*20) KTH,2 ลัง,640,20,1280,32,59,
21,กล่องเหลี่ยม กดล็อค(เล็ก)#112 ฝาขาว,1 โหล,92,12,92,8,15,8.85878E+12
22,ขวดโหลกลมฝาสีหวาน+ช้อน311-1 AY,1 โหล,93,12,93,8,15,8.85125E+12
23,กระปุกกลม ช้อน3002 AY,1 โหล,93,12,93,8,15,8.85125E+12
24,กล่องเหลี่ยม589 ขาวใส SMT,1 โหล,115,12,115,,,
25,กล่องเหลี่ยมใหญ่585-M(200) ผืนผ้า SMT,1 โหล,198,12,198,,,
26,กล่องล็อค4ด้าน8027 SET LOCK SW,1 โหล,195,12,195,16,25,9.98E+12
27,โหลฝายิ้ม958 JOT,1 โหล,210,12,210,18,30,8.8512E+12
28,กล่องแช่เหลี่ยม4424 SRT,1 โหล,233,12,233,19,35,8.85941E+12
29,ฝาซี36 สีเข้ม SRT,1 โหล,98,12,98,,,
30,กล่องเหลี่ยม-เล็ก585-S SMT,1 โหล,60,12,60,5,10,8.85104E+12
31,โหลกลมกลาง(ฝาเกลียว) PJD5-M SMT,1 โหล,99,12,99,,,
32,โหลเหลี่ยมมน048-M (กลาง) BG,1 โหล,90,12,90,8,15,8.85954E+12
33,เหยือกเพชรกลมใส200 #559 VT,1 โหล,205,12,205,17,30,1000000559
34,กล่องผืนผ้า#8036 จุกปล่อยอากาศ SW,1 โหล,195,12,195,16,25,9.98E+12
35,กล่องเหลี่ยม001-2 ตัวใส ฝาขาว #001-R,1 โหล,186,12,186,,,
