4/7/2568,,สมส่วน บูติค,,,,,Page 1/1
15:01:19,,รายงาน ประวัติการสร้างสินค้า,,,,,
R05.127,,ประจำปี 2568,,,,,
วันที่ เวลา สร้างสินค้า,,,รหัสสินค้า,,Barcode,รายการ,
,,,,,,,
21/4/2025 16:04,,,BB012,,BB012,ขวดนม2ออนซ์แฟนซีหัวหมี,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21/4/2025 16:04,,,CER009,,CER009,พานลายฉลุ18ซม.,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21/4/2025 16:04,,,CER005,,8850110018,พานฉลุ 18 CMเงืน,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21/4/2025 16:04,,,BB011,,BB011,ขวดนม8ออนซ์ มือจับ,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21/4/2025 16:04,,,BB007,,8.85199E+12,น้ำยาซักผ้าเด็กดีนี่ 550ml ชมพู,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21/4/2025 16:04,,,CL018,,8.85194E+12,แปรงเรนโบว์ซักผ้า พลาสติกรูป8 BB,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
21/4/2025 16:04,,,CL025,,CL025,ไม้ถูพื้นจุกขาว UL,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
